Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,21549256530,,,4
H1,2015,2015,2015,0,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,33924937478,,,4
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,305721,,,0
H1,2015,2015,2015,0,0,2,Export,24,Angola,AGO,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,39585,,,0
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,331768,,,0
H1,2015,2015,2015,0,0,2,Export,24,Angola,AGO,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2259,,,0
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1296647,,,4
H1,2015,2015,2015,0,0,2,Export,24,Angola,AGO,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2322462,,,0
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,909488,,,0
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,20308,,,0
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,6989067,,,0
H1,2015,2015,2015,0,0,2,Export,24,Angola,AGO,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,155467,,,0
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,87518,,,4
H1,2015,2015,2015,0,0,2,Export,24,Angola,AGO,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,9926,,,0
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,128593612,,,4
H1,2015,2015,2015,0,0,2,Export,24,Angola,AGO,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,142230,,,4
H1,2015,2015,2015,0,0,1,Import,24,Angola,AGO,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,11716962,,,4
