Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4101217006,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1055012744,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,281289,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,405645,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,38075,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8700,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,28,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3680497,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,330,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5548162,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1590829,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,156626081,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5536643,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,46278,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,660721,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,539,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,284166,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3157993,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,95289771,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,91046618,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14907,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,72,Botswana,BWA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3906,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,57747097,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,151612,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,220600,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2377619,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,73081,,,0
H1,2008,2008,2008,0,0,2,Export,51,Armenia,ARM,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5049,,,0
H1,2008,2008,2008,0,0,1,Import,51,Armenia,ARM,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,676,,,0
