Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,139354165032,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,123324472734,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,400619,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14298702,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,273200,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,442166,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,10,Antarctica,ATA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,16836,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,10,Antarctica,ATA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4795901,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37263580,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,84325866,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4974161,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8083657,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,41389,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3615983,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,103765,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,517216,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,9981,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8580573,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,136865443,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,136694866,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,554730520,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,798605230,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,48380773,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3341517,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2851002,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,97857901,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,94875777,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,31671946,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,138666209,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,160421,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,996759,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,669170,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3327544,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1220170675,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,828494978,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,89562,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1550945,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,64,Bhutan,BTN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2929,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,64,Bhutan,BTN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7441,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5015169,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,498317,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1924944,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1948389,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,72,Botswana,BWA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,35629,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,72,Botswana,BWA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4322142,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,705009292,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,672161263,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2032777,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,104356,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,86,Br. Indian Ocean Terr.,IOT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,114108,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,90,Solomon Isds,SLB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3140774,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,60842246,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4217806,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,99235,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,885810489,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19984342,,,0
H1,2006,2006,2006,0,0,1,Import,36,Australia,AUS,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19682634,,,0
H1,2006,2006,2006,0,0,2,Export,36,Australia,AUS,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,42212867,,,0
