Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1051747355,,,0
H1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,452962797,,,0
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,499889,,,0
H1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,54765,,,0
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7453563,,,0
H1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,237,,,0
H1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,694,,,0
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3658230,,,0
H1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,26402676,,,0
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,858046,,,0
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,23751,,,0
H1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,40923,,,0
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,38439,,,0
H1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,283,,,0
H1,2011,2011,2011,0,0,1,Import,64,Bhutan,BTN,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7244,,,0
