Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5609561088,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2332101252,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,50570,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5279,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19344,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,64000809,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2805813,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,478,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2969617,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,76967,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,23765,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,235585,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,106062,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,45984,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,116419672,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1392774,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2437646,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,447386,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6259353,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,395457,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,119548,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2923700,,,0
H1,2004,2004,2004,0,0,2,Export,192,Cuba,CUB,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,57,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1414543,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,353,,,0
H1,2004,2004,2004,0,0,1,Import,192,Cuba,CUB,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15033,,,0
