Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,647615351,,,0
H1,2009,2009,2009,0,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,363708835,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14395,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,130413,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,220992,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,286487,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12731231,,,0
H1,2009,2009,2009,0,0,2,Export,262,Djibouti,DJI,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1251937,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,974992,,,0
H1,2009,2009,2009,0,0,2,Export,262,Djibouti,DJI,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,31526150,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,53099,,,0
H1,2009,2009,2009,0,0,2,Export,262,Djibouti,DJI,120,Cameroon,CMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,27130,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1817515,,,0
H1,2009,2009,2009,0,0,2,Export,262,Djibouti,DJI,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,9125,,,0
H1,2009,2009,2009,0,0,2,Export,262,Djibouti,DJI,140,Central African Rep.,CAF,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1660,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,165004,,,0
H1,2009,2009,2009,0,0,1,Import,262,Djibouti,DJI,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10679,,,0
