Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,737241741,,,0
H1,2001,2001,2001,0,0,2,Export,242,Fiji,FJI,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,460582117,,,0
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5232,,,0
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,585,,,0
H1,2001,2001,2001,0,0,2,Export,242,Fiji,FJI,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14809946,,,0
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7357,,,0
H1,2001,2001,2001,0,0,2,Export,242,Fiji,FJI,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,24681,,,0
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4096,,,0
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1050,,,0
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1389728,,,0
H1,2001,2001,2001,0,0,2,Export,242,Fiji,FJI,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,605,,,0
H1,2001,2001,2001,0,0,1,Import,242,Fiji,FJI,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,263945901,,,0
