Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,63867748,,,0
H1,2003,2003,2003,0,0,2,Export,624,Guinea-Bissau,GNB,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,61366793,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1215608,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,488468,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,205317,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,366351,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,132,Cabo Verde,CPV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,57703,,,0
H1,2003,2003,2003,0,0,2,Export,624,Guinea-Bissau,GNB,132,Cabo Verde,CPV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,29102,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12291236,,,0
H1,2003,2003,2003,0,0,2,Export,624,Guinea-Bissau,GNB,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,988631,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,475416,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,204,Benin,BEN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15239,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,77651,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,179623,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,270,Gambia,GMB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,814675,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,248760,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,324,Guinea,GIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,255746,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,381,Italy,ITA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2682503,,,0
H1,2003,2003,2003,0,0,2,Export,624,Guinea-Bissau,GNB,381,Italy,ITA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,364679,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,392,Japan,JPN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1141784,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,466,Mali,MLI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,43693,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,470,Malta,MLT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,17118,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,478,Mauritania,MRT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8738,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,500,Montserrat,MSR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1465405,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,504,Morocco,MAR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1373429,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,528,Netherlands,NLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,286195,,,0
H1,2003,2003,2003,0,0,1,Import,624,Guinea-Bissau,GNB,591,Panama,PAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,279068,,,0
H1,2003,2003,2003,0,0,2,Export,624,Guinea-Bissau,GNB,591,Panama,PAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1326105,,,0
