Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37064476500,,,0
H1,2014,2014,2014,0,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,84506036565,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,35388,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,30200224,,,0
H1,2014,2014,2014,0,0,2,Export,368,Iraq,IRQ,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,180250,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,281705659,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,194118664,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,23329550,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,61234409,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,53206806,,,0
H1,2014,2014,2014,0,0,2,Export,368,Iraq,IRQ,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,60000,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,118989155,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,233786,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,33693226,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,108,Burundi,BDI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2463156,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,116,Cambodia,KHM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15896795,,,0
H1,2014,2014,2014,0,0,1,Import,368,Iraq,IRQ,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,492188772,,,0
