Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,137993165,,,0
H1,2006,2006,2006,0,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8922341,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,182,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,799,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5776728,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,430,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,90,Solomon Isds,SLB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,338778,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,116,Cambodia,KHM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1481,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,136,Cayman Isds,CYM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2007,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1306,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,148,Chad,TCD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2753,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,121629,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4398906,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,180,Dem. Rep. of the Congo,COD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,57,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,169,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,210,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,242,Fiji,FJI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,114229,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,83227,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,413,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,270,Gambia,GMB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6447,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13063,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,25969734,,,0
H1,2006,2006,2006,0,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1674185,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5023569,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,360,Indonesia,IDN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,112382,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,372,Ireland,IRL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2877,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,376,Israel,ISR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,145,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13158370,,,0
H1,2006,2006,2006,0,0,2,Export,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,748336,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,400,Jordan,JOR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,25,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,404,Kenya,KEN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10943,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,410,Rep. of Korea,KOR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8054966,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,458,Malaysia,MYS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,104327,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,466,Mali,MLI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,986,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,484,Mexico,MEX,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14347,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,490,"Other Asia, nes",,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1725281,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,496,Mongolia,MNG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2379,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,504,Morocco,MAR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,67343,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,528,Netherlands,NLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1067,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,554,New Zealand,NZL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1154522,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,562,Niger,NER,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,52209,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,566,Nigeria,NGA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4675,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,663120,,,0
H1,2006,2006,2006,0,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,952455,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,583,FS Micronesia,FSM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,234208,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8677,,,0
H1,2006,2006,2006,0,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,140736,,,0
H1,2006,2006,2006,0,0,1,Import,583,FS Micronesia,FSM,585,Palau,PLW,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,125951,,,0
