Year,GDP (current USD)
2018,"401,932,300.0"
2017,"366,666,800.0"
2016,"332,265,200.0"
2015,"316,489,900.0"
2014,"319,271,200.0"
2013,"317,214,400.0"
2012,"327,248,700.0"
2011,"311,301,600.0"
2010,"296,944,100.0"
2009,"280,284,600.0"
2008,"263,145,100.0"
2007,"256,787,200.0"
2006,"253,541,900.0"
2005,"250,281,900.0"
2004,"240,236,000.0"
2003,"245,432,900.0"
2002,"242,517,200.0"
2001,"240,970,900.0"
2000,"233,271,800.0"
1999,"220,140,500.0"
1998,"218,873,100.0"
1997,"206,626,300.0"
1996,"218,534,700.0"
