Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,5874787944,,,4
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,7011757684,,,4
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,309753,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,7209,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,117518,,,0
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,135935,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2853994,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,49912876,,,4
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1273873,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,19443611,,,4
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,4356785,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,867,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1402,,,0
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,125066,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,6823645,,,0
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,47077,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,80142,,,0
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1557846,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,12447113,,,4
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,341843,,,0
H1,2018,2018,2018,0,0,2,Export,496,Mongolia,MNG,64,Bhutan,BTN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,625,,,0
H1,2018,2018,2018,0,0,1,Import,496,Mongolia,MNG,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1684,,,0
