Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,4865894628,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,8873435869,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,88390,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,152918,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,9,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,65006,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,605350,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,6591985,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,71097651,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,17924417,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,23090,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,6898219,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,420,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,114959,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,9559074,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,81036368,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,120,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,210,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1354234,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1945126,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,72,Botswana,BWA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1500,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,72,Botswana,BWA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,476836,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,74,Bouvet Island,BVT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1740,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,8550375,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2366691,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,474703,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,26933,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,407954,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3453610,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,5996201,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,343336,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,11738,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,48008,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,116,Cambodia,KHM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,117166,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,120,Cameroon,CMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1213002,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,120,Cameroon,CMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,22750,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,4247748,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,10229,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,132,Cabo Verde,CPV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,36460,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,136,Cayman Isds,CYM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,5384,,,0
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,126895,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1313822,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,34840,,,0
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,13238,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,964027359,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,260305745,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,162,Christmas Isds,CXR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,5399,,,4
H1,2010,2010,2010,0,0,1,Import,104,Myanmar,MMR,166,Cocos Isds,CCK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,129156,,,4
H1,2010,2010,2010,0,0,2,Export,104,Myanmar,MMR,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,705054,,,4
