Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1567153423,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2722217200,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,42,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37292,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,801989,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1972,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6251,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,9429,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,919383129,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,286163219,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,18918,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,285169,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,208289,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,424468,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,25244,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1264,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,25887599,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10575942,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15068,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4646,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,757391,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,84,Belize,BLZ,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,652,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,90,Solomon Isds,SLB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,246457,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,90,Solomon Isds,SLB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7541262,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,96,Brunei Darussalam,BRN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2322,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,89075,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10463,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,33679,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3251105,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,745888,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,132,Cabo Verde,CPV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2396,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,140,Central African Rep.,CAF,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2076,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,72928,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1586277,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,154728,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,50746878,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,108299669,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,557,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,174,Comoros,COM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,497,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,178,Congo,COG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,74,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,180,Dem. Rep. of the Congo,COD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15272,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,184,Cook Isds,COK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,622,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,184,Cook Isds,COK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,50947,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,191,Croatia,HRV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12181,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,191,Croatia,HRV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15758,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,192,Cuba,CUB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,202,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,107584,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,204,Benin,BEN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,58,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1914982,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,824388,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,212,Dominica,DMA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1350708,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,212,Dominica,DMA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,276526,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,218,Ecuador,ECU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2315,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,231,Ethiopia,ETH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6252,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,238,Falkland Isds (Malvinas),FLK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,78,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,242,Fiji,FJI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2564276,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,242,Fiji,FJI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1007129,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,289230,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,494304,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3624550,,,0
H1,2004,2004,2004,0,0,2,Export,598,Papua New Guinea,PNG,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7866331,,,0
H1,2004,2004,2004,0,0,1,Import,598,Papua New Guinea,PNG,258,French Polynesia,PYF,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15061,,,0
