Year,GDP (current USD)
2018,"811,300,000.0"
2017,"792,177,777.8"
2016,"774,429,629.6"
2015,"755,400,000.0"
2014,"727,714,814.8"
2013,"721,207,407.4"
2012,"692,933,333.3"
2011,"676,129,629.6"
2010,"681,225,925.9"
2009,"674,922,222.2"
2008,"695,429,629.6"
2007,"684,444,444.4"
2006,"610,929,629.6"
2005,"550,729,629.6"
2004,"521,974,074.1"
2003,"481,807,407.4"
2002,"461,885,185.2"
2001,"430,040,740.7"
2000,"396,262,963.0"
1999,"390,718,518.5"
1998,"373,618,518.5"
1997,"347,770,370.4"
1996,"331,488,888.9"
