Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,83086880674,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,88233218989,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,207164,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2293254,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,716471,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1393781,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,10,Antarctica,ATA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2949,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,10,Antarctica,ATA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2951076,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,5790267,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,46140945,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,68929,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,11292,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,113992,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,45435,,,0
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1340980393,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,581192906,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,65884,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,4808264,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,141916,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3848623,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,512135624,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,178785158,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,992974046,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,903139419,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,508502025,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,45365930,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,18565604,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,11724739,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,371305111,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,21900812,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,76850759,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,162978888,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,255204,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1879889,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,2296432,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,52,Barbados,BRB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1380150,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,885587276,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2473221848,,,4
H1,2017,2017,2017,0,0,1,Import,710,South Africa,ZAF,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,227386,,,4
H1,2017,2017,2017,0,0,2,Export,710,South Africa,ZAF,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2336768,,,4
