Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11488278728,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10919370783,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,533659,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1210088,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14935,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,135033,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6915652,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,195108097,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,54866,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2004613,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19001101,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13501,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6118483,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,78219801,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1183174,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7917035,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5238133,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,20834376,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1531254,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,21793857,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,8230570,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,27378884,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10117815,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,314309,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2468865,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,87173923,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,25808053,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,134575,,,0
H1,2006,2006,2006,0,0,2,Export,760,Syria,SYR,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,217471,,,0
H1,2006,2006,2006,0,0,1,Import,760,Syria,SYR,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,39101,,,0
