Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2004,2004,2004,0,0,1,Import,780,Trinidad and Tobago,TTO,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4869582116,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6517202314,,,0
H1,2004,2004,2004,0,0,1,Import,780,Trinidad and Tobago,TTO,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,521199,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1748,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19854,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,38,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,78697,,,0
H1,2004,2004,2004,0,0,1,Import,780,Trinidad and Tobago,TTO,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,32734,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,27175419,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,26872,,,0
H1,2004,2004,2004,0,0,1,Import,780,Trinidad and Tobago,TTO,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,27505076,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3096742,,,0
H1,2004,2004,2004,0,0,1,Import,780,Trinidad and Tobago,TTO,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19169791,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1814760,,,0
H1,2004,2004,2004,0,0,1,Import,780,Trinidad and Tobago,TTO,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11157729,,,0
H1,2004,2004,2004,0,0,2,Export,780,Trinidad and Tobago,TTO,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,147037,,,0
