Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1478246016,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1186990848,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2302348,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,40932428,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,18797500,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,48241412,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6862,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2401,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5197296,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11613590,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7448216,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1262071,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,10887878,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1438958,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3454410,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,78574,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,210083,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,672004,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3759445,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1978500,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5493,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,15331398,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,614275,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,740538,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,19464,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13538141,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,5191984,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,191,Croatia,HRV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4164,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7113,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,16765122,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7419978,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,436079,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,474953,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,387570,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,233,Estonia,EST,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1309574,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,233,Estonia,EST,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1208858,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4290689,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,246,Finland,FIN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,686627,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,85317024,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,251,France,FRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,311837,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,268,Georgia,GEO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,33925808,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,268,Georgia,GEO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,35852756,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,70928000,,,0
H1,1999,1999,1999,0,0,2,Export,795,Turkmenistan,TKM,276,Germany,DEU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6447128,,,0
H1,1999,1999,1999,0,0,1,Import,795,Turkmenistan,TKM,300,Greece,GRC,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,294100,,,0
