Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2217385822,,,4
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2153543030,,,4
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,92677,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,10,Antarctica,ATA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,49426,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,461964,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,5891,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,30594,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,4137416,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,16343,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,45455,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3616,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,6318677,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,34450,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,5226343,,,4
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,4487877,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3452812,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1931517,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,81,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,4942,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1086523,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,176021,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,115523,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,8807117,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,7465797,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,60,Bermuda,BMU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,10599,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,64,Bhutan,BTN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1126,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,72,Botswana,BWA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,77337529,,,4
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,72,Botswana,BWA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,47136137,,,0
H1,2002,2002,2002,0,0,1,Import,716,Zimbabwe,ZWE,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,6697740,,,0
H1,2002,2002,2002,0,0,2,Export,716,Zimbabwe,ZWE,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2297877,,,0
